s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
545.9901554,-26.4194211,-396.9000438,-0.0056381,0.0181255,20.9758275,4.0582859
547.9901193,-26.4435648,-394.9008945,0.0293795,0.0168909,21.3592647,4.2901919
549.9900833,-26.5370464,-392.9029635,0.0617376,0.0153886,21.7572666,4.6180697
551.9900472,-26.6902634,-390.9092618,0.0912419,0.0141283,22.1777049,4.815556
553.9900112,-26.9012246,-388.9206129,0.1183761,0.0128516,22.6077967,4.8083328
555.9899751,-27.1621626,-386.9380223,0.1429885,0.0117705,23.0292305,4.8011205
557.989939,-27.4709118,-384.9623733,0.1655403,0.0106164,23.4424741,4.7939189
559.989903,-27.8206879,-382.9933252,0.1857085,0.0095429,23.8479542,4.7867282
561.9898669,-28.2093659,-381.0316423,0.2040078,0.0085081,24.2460613,4.7795482
563.9898308,-28.630541,-379.0765558,0.2200231,0.0075046,24.6371536,4.772379
565.9897948,-29.0816004,-377.1285377,0.2339793,0.0064319,25.0215609,4.7652206
567.9897587,-29.5571985,-375.1858262,0.2458765,0.0054623,25.3995875,4.7580729
569.9897227,-30.0541282,-373.2490258,0.2556925,0.0044284,25.7715152,4.7509359
571.9896866,-30.5680056,-371.3158914,0.2636377,0.0035147,26.137605,4.7438096
573.9896505,-31.0951264,-369.3871778,0.2695244,0.0025204,26.4980998,4.736694
575.9896145,-31.6320681,-367.460197,0.2736799,0.0016281,26.8532256,4.7295891
577.9895784,-32.1753031,-365.536384,0.2759659,0.0006548,27.2031936,4.7224948
579.9895424,-32.7210095,-363.6119816,0.2763694,-0.0002461,27.548201,4.7154112
581.9895063,-33.2656548,-361.6885026,0.2749597,-0.0011065,27.8884328,4.7083382
583.9894702,-33.8060898,-359.7628595,0.272046,-0.001767,28.2240624,4.7012759
585.9894342,-34.3389092,-357.835537,0.2678673,-0.0022295,28.5552528,4.6942241
587.9893981,-34.8637551,-355.9057076,0.2631396,-0.0024629,28.8821575,4.6871829
589.9893621,-35.3783556,-353.973239,0.258044,-0.0025437,29.2049211,4.6801522
591.989326,-35.8837864,-352.0382286,0.252944,-0.0025476,29.5236801,4.6731321
593.9892899,-36.3788061,-350.1006358,0.2477617,-0.0025409,29.8385636,4.6661225
595.9892539,-36.8643395,-348.1605361,0.2426925,-0.0025302,30.1496937,4.6591235
597.9892178,-37.3395052,-346.2179259,0.2374652,-0.002549,30.4571862,4.6521349
599.9891818,-37.8050102,-344.2729342,0.2323659,-0.0025533,30.7611507,4.6451569
601.9891457,-38.2600791,-342.3254852,0.2270797,-0.0025907,31.0616916,4.6381892
603.9891096,-38.7052655,-340.3757572,0.2218825,-0.002609,31.358908,4.6312321
605.9890736,-39.1399335,-338.4236473,0.2165455,-0.0026422,31.6528941,4.6242854
607.9890375,-39.564449,-336.4693242,0.211239,-0.0026638,31.9437398,4.6173491
609.9890015,-39.9782603,-334.5126771,0.2058054,-0.0027044,32.2315307,4.6104232
611.9889654,-40.3816288,-332.5538925,0.2003609,-0.0027391,32.5163487,4.6035076
613.9889293,-40.774055,-330.5928429,0.1948199,-0.0027683,32.7982718,4.5966025
615.9888933,-41.1557596,-328.629719,0.1892536,-0.0027944,33.0773746,4.5897077
617.9888572,-41.5262166,-326.6643723,0.1835709,-0.0028334,33.3537286,4.5828233
619.9888211,-41.8856892,-324.6970494,0.177878,-0.0028547,33.6274021,4.5759492
